Model,Features,Accuracy,Precision,Recall,F1-Score
Naive Bayes,TF-IDF,0.9757847533632287,0.9919354838709677,0.825503355704698,0.9010989010989011
Naive Bayes,BoW,0.9820627802690582,0.9387755102040817,0.9261744966442953,0.9324324324324325
Naive Bayes,PCA(50),0.8663677130044843,0.0,0.0,0.0
SVM,TF-IDF,0.9829596412556054,0.9577464788732394,0.912751677852349,0.9347079037800687
Decision Tree,TF-IDF,0.9560538116591928,0.7941176470588235,0.9060402684563759,0.8463949843260188
KNN,TF-IDF,0.9201793721973094,1.0,0.40268456375838924,0.5741626794258373
